station;termin;nat_abbr;dv1towz0;fk1towz0;fu3towz0;fu3towz1;gre000z0;sre000z0;ta1tows0;tdetows0;uretows0
392;20230102145000;UEB;233;8.2;29.5;37.1;31;0;9.8;1.6;56.5
392;20230102150000;UEB;234;9.2;33.1;38.2;25;0;10.0;1.5;55.6
392;20230102151000;UEB;238;9.7;34.9;40.7;19;0;10.0;1.8;56.5
392;20230102152000;UEB;242;10.2;36.4;42.8;13;0;9.9;1.8;57.2
392;20230102153000;UEB;239;10.4;37.1;52.2;8;0;10.0;1.8;56.7
392;20230102154000;UEB;238;11.6;41.8;54.4;6;0;10.0;1.9;56.9
392;20230102155000;UEB;235;13.2;47.2;58.3;4;0;9.8;1.9;57.9
392;20230102160000;UEB;234;13.7;49.3;58.3;4;0;9.7;1.7;57.5
392;20230102161000;UEB;234;13.0;46.8;57.6;4;0;9.5;1.9;58.9
392;20230102162000;UEB;233;12.6;45.4;54.7;4;0;9.3;2.2;61.0
392;20230102163000;UEB;232;12.2;43.9;54.4;4;0;9.1;2.4;62.9
392;20230102164000;UEB;233;12.5;45.0;51.8;4;0;9.1;2.4;62.8
392;20230102165000;UEB;237;12.6;45.4;50.8;4;0;9.0;2.6;64.0
392;20230102170000;UEB;240;12.4;44.6;52.6;4;0;8.9;2.7;64.9
392;20230102171000;UEB;244;12.3;44.3;53.3;4;0;8.7;3.0;67.3
392;20230102172000;UEB;246;12.5;44.6;51.8;4;0;8.4;3.1;69.3
392;20230102173000;UEB;246;12.0;43.2;49.7;4;0;8.3;3.2;70.2
392;20230102174000;UEB;244;10.5;37.8;48.2;4;0;8.1;3.3;71.9
392;20230102175000;UEB;243;10.5;37.8;45.7;4;0;7.9;3.4;73.1
392;20230102180000;UEB;243;9.8;35.3;44.3;4;0;7.8;3.5;74.3
392;20230102181000;UEB;242;9.8;35.3;49.0;4;0;7.7;3.5;74.9
392;20230102182000;UEB;244;10.0;35.6;42.1;4;0;7.6;3.4;74.7
392;20230102183000;UEB;246;10.4;37.4;42.5;4;0;7.6;3.6;75.5
392;20230102184000;UEB;248;10.4;37.4;42.1;4;0;7.4;3.7;77.1
392;20230102185000;UEB;248;10.5;37.4;44.3;4;0;7.4;3.7;77.5
392;20230102190000;UEB;250;10.3;37.1;45.0;4;0;7.4;3.8;77.7
392;20230102191000;UEB;252;10.0;35.6;47.9;4;0;7.5;3.7;76.7
392;20230102192000;UEB;252;9.8;35.3;43.2;4;0;7.1;3.9;80.0
392;20230102193000;UEB;256;9.3;33.5;41.4;4;0;7.3;3.9;79.1
392;20230102194000;UEB;257;8.6;31.0;38.5;4;0;6.9;4.1;82.1
392;20230102195000;UEB;259;6.9;24.8;34.6;4;0;6.6;4.5;86.6
392;20230102200000;UEB;266;6.4;22.7;31.7;4;0;6.6;4.7;87.9
392;20230102201000;UEB;258;7.1;25.2;39.2;4;0;6.5;4.8;89.0
392;20230102202000;UEB;254;8.2;29.2;46.4;4;0;6.3;5.1;92.3
392;20230102203000;UEB;253;8.8;31.7;40.7;4;0;6.0;5.5;96.5
392;20230102204000;UEB;253;9.0;32.0;41.4;4;0;5.9;5.7;98.4
392;20230102205000;UEB;253;8.9;32.0;37.8;4;0;5.8;5.7;99.2
392;20230102210000;UEB;253;8.2;29.5;35.3;4;0;5.8;5.7;99.3
392;20230102211000;UEB;256;7.6;27.4;31.0;4;0;5.8;5.6;98.9
392;20230102212000;UEB;257;6.8;24.5;27.7;3;0;5.8;5.6;98.5
392;20230102213000;UEB;256;6.2;22.3;27.4;3;0;5.7;5.6;99.4
392;20230102214000;UEB;262;5.1;18.4;22.7;3;0;5.7;5.6;99.6
392;20230102215000;UEB;266;4.7;16.6;19.4;3;0;5.7;5.7;100.0
392;20230102220000;UEB;268;4.7;16.9;20.9;3;0;5.8;5.7;99.5
392;20230102221000;UEB;263;3.9;14.0;19.4;3;0;5.8;5.7;99.5
392;20230102222000;UEB;255;4.0;14.4;19.1;3;0;5.7;5.7;100.0
392;20230102223000;UEB;258;3.0;10.8;14.0;3;0;5.7;5.7;100.0
392;20230102224000;UEB;244;4.0;14.0;17.3;3;0;5.8;5.5;97.9
392;20230102225000;UEB;242;3.3;11.9;16.9;3;0;5.7;5.7;100.0
392;20230102230000;UEB;249;3.7;13.0;19.1;3;0;6.2;2.8;78.8
392;20230102231000;UEB;238;3.4;12.2;14.4;3;0;5.7;5.4;98.0
392;20230102232000;UEB;242;3.9;14.0;16.9;3;0;5.8;5.7;99.2
392;20230102233000;UEB;244;3.5;12.6;15.8;3;0;5.6;5.5;99.3
392;20230102234000;UEB;246;3.0;10.8;13.0;3;0;5.6;5.6;99.9
392;20230102235000;UEB;236;2.7;9.7;11.5;3;0;5.6;5.6;100.0
392;20230103000000;UEB;245;2.6;9.0;11.5;3;0;5.5;5.5;100.0
392;20230103001000;UEB;267;2.2;7.2;11.9;3;0;5.7;3.7;87.0
392;20230103002000;UEB;281;2.8;10.1;15.1;4;0;5.4;3.6;88.4
392;20230103003000;UEB;257;2.5;9.0;12.2;3;0;5.2;4.6;96.2
392;20230103004000;UEB;254;2.4;8.6;11.2;4;0;5.4;3.5;87.5
392;20230103005000;UEB;215;1.5;5.4;8.6;3;0;5.1;4.2;93.6
392;20230103010000;UEB;178;1.9;6.8;11.9;3;0;5.1;4.1;93.1
392;20230103011000;UEB;172;2.2;7.6;13.3;3;0;5.1;4.2;94.2
392;20230103012000;UEB;194;1.9;6.8;10.4;3;0;5.0;4.7;97.6
392;20230103013000;UEB;210;1.9;6.8;8.6;3;0;5.2;4.5;95.0
392;20230103014000;UEB;212;2.8;10.1;11.2;3;0;5.2;4.5;95.1
392;20230103015000;UEB;216;2.9;10.4;12.2;3;0;5.2;4.3;94.2
392;20230103020000;UEB;215;3.3;11.9;14.8;3;0;5.2;4.5;95.4
392;20230103021000;UEB;230;3.4;12.2;14.8;3;0;5.3;4.6;95.5
392;20230103022000;UEB;236;3.2;11.5;13.0;3;0;5.3;5.0;97.7
392;20230103023000;UEB;236;3.7;13.3;14.8;3;0;5.2;4.9;97.6
392;20230103024000;UEB;237;3.8;13.3;15.5;3;0;5.2;4.9;98.2
392;20230103025000;UEB;238;3.5;12.6;15.1;3;0;5.2;4.9;98.0
392;20230103030000;UEB;239;3.7;13.3;14.0;3;0;5.3;4.5;94.5
392;20230103031000;UEB;243;3.7;13.3;14.0;3;0;5.2;4.7;96.4
392;20230103032000;UEB;247;3.2;11.5;13.3;3;0;5.0;4.8;98.4
392;20230103033000;UEB;260;3.0;10.4;14.0;3;0;5.0;4.8;98.9
392;20230103034000;UEB;268;2.4;8.6;11.5;3;0;5.0;4.8;98.9
392;20230103035000;UEB;262;2.4;8.6;11.9;3;0;5.0;4.7;97.9
392;20230103040000;UEB;265;3.0;10.8;14.0;3;0;4.9;3.7;92.2
392;20230103041000;UEB;269;2.5;8.6;12.2;4;0;5.3;1.6;77.2
392;20230103042000;UEB;261;2.4;8.6;11.9;3;0;5.2;0.9;73.8
392;20230103043000;UEB;260;1.3;4.7;8.3;3;0;5.2;1.2;75.5
392;20230103044000;UEB;264;1.8;6.5;9.4;3;0;5.1;0.9;74.5
392;20230103045000;UEB;265;1.8;6.1;9.7;3;0;5.1;1.0;74.8
392;20230103050000;UEB;270;1.3;4.3;7.2;3;0;5.1;1.2;75.7
392;20230103051000;UEB;251;1.3;4.7;6.1;3;0;5.0;1.5;77.8
392;20230103052000;UEB;261;2.0;7.2;11.2;3;0;4.8;1.9;81.7
392;20230103053000;UEB;252;1.9;6.8;9.4;3;0;4.6;3.1;90.1
392;20230103054000;UEB;243;1.8;6.5;9.0;3;0;4.7;3.3;90.4
392;20230103055000;UEB;245;2.3;8.3;10.1;3;0;4.7;3.6;92.8
392;20230103060000;UEB;250;2.5;9.0;10.1;3;0;4.7;3.5;91.9
