Typ;Typ2;SHORT_NAME_TX;DESC_G_TX;NAME_G_TX;Art;TIME_GRANULARITY_TX;DECIMALS_NU;VALUE_RANGE_TX;DATA_TYPE_TX;SHORT_SIGN_TX;PARAMETER_ID
smn;;fu3010y1;"Böenspitze (Sekundenböe); Jahresmaximum";Wind;aggregat;Y;1;0..999.9;Float;km/h;1082
smn;;fu3010z0;"Windgeschwindigkeit; Zehnminutenmittel";Wind;aggregat;T;1;0..999.9;Float;km/h;1083
smn;;fu3010z1;"Böenspitze (Sekundenböe); Maximum";Wind;aggregat;T;1;0..999.9;Float;km/h;1938
smn;;fve010h0;"Windgeschwindigkeit vektoriell; Stundenmittel";Wind;aggregat;H;1;0..99.9;Float;m/s;7908
smn;;fve010z0;"Windgeschwindigkeit vektoriell; Zehnminutenmittel";Wind;originalwert;T;1;0..99.9;Float;m/s;195
smn;smn-tower;gre000d0;"Globalstrahlung; Tagesmittel";Strahlung;aggregat;D;0;0..999;Integer;W/m²;224
smn;smn-tower;gre000h0;"Globalstrahlung; Stundenmittel";Strahlung;aggregat;H;0;-999..999;Integer;W/m²;269
smn;smn-tower;gre000m0;"Globalstrahlung; Monatsmittel";Strahlung;aggregat;M;0;0..9999;Integer;W/m²;357
smn;smn-tower;gre000y0;"Globalstrahlung; Jahresmittel";Strahlung;aggregat;Y;0;0..9999;Integer;W/m²;477
smn;smn-tower;gre000z0;"Globalstrahlung; Zehnminutenmittel";Strahlung;originalwert;T;0;-9999..9999;Integer;W/m²;96
smn;;oli000d0;"Langwellige Einstrahlung; Tagesmittel";Strahlung;aggregat;D;0;0..999;Integer;W/m²;3673
smn;;oli000h0;"Langwellige Einstrahlung; Stundenmittel";Strahlung;aggregat;H;0;-999..999;Integer;W/m²;3674
smn;;oli000m0;"Langwellige Einstrahlung; Monatsmittel";Strahlung;aggregat;M;0;0..9999;Integer;W/m²;3675
smn;;oli000y0;"Langwellige Einstrahlung; Jahresmittel";Strahlung;aggregat;Y;0;0..9999;Integer;W/m²;3676
smn;;oli000z0;"Langwellige Einstrahlung; Zehnminutenmittel";Strahlung;originalwert;T;0;0..999;Integer;W/m²;175
smn;;pp0qffd0;"Luftdruck reduziert auf Meeresniveau (QFF); Tagesmittel";Druck;aggregat;D;1;0..1500.0;Float;hPa;962
smn;;pp0qffh0;"Luftdruck reduziert auf Meeresniveau (QFF); Stundenmittel";Druck;aggregat;H;1;0..1500.0;Float;hPa;307
smn;;pp0qffm0;"Luftdruck reduziert auf Meeresniveau (QFF); Monatsmittel";Druck;aggregat;M;1;0..1500.0;Float;hPa;328
smn;;pp0qffs0;"Luftdruck reduziert auf Meeresniveau (QFF); Momentanwert";Druck;originalwert;T;1;0..1500.0;Float;hPa;968
smn;;pp0qffy0;"Luftdruck reduziert auf Meeresniveau (QFF); Jahresmittel";Druck;aggregat;Y;1;0..1500.0;Float;hPa;450
smn;;pp0qnhd0;"Luftdruck reduziert auf Meeresniveau mit Standardatmosphäre (QNH); Tagesmittel";Druck;aggregat;D;1;0..1500.0;Float;hPa;1855
smn;;pp0qnhh0;"Luftdruck reduziert auf Meeresniveau mit Standardatmosphäre (QNH); Stundenmittel";Druck;aggregat;H;1;0..1500.0;Float;hPa;1852
smn;;pp0qnhm0;"Luftdruck reduziert auf Meeresniveau mit Standardatmosphäre (QNH); Monatsmittel";Druck;aggregat;M;1;0..1500.0;Float;hPa;1858
smn;;pp0qnhs0;"Luftdruck reduziert auf Meeresniveau mit Standardatmosphäre (QNH); Momentanwert";Druck;originalwert;T;1;0..1500.0;Float;hPa;967
smn;;pp0qnhy0;"Luftdruck reduziert auf Meeresniveau mit Standardatmosphäre (QNH); Jahresmittel";Druck;aggregat;Y;1;0..1500.0;Float;hPa;1861
smn;;ppz700d0;"Geopotentielle Höhe der 700 hPa-Fläche; Tagesmittel";Druck;aggregat;D;1;0..10000.0;Float;gpm;964
smn;;ppz700h0;"Geopotentielle Höhe der 700 hPa-Fläche; Stundenmittel";Druck;aggregat;H;1;0..10000.0;Float;gpm;1867
smn;;ppz700m0;"Geopotentielle Höhe der 700 hPa-Fläche; Monatsmittel";Druck;aggregat;M;1;0..10000.0;Float;gpm;976
smn;;ppz700s0;"Geopotentielle Höhe der 700 hPa-Fläche; Momentanwert";Druck;originalwert;T;1;0..10000.0;Float;gpm;970
smn;;ppz700y0;"Geopotentielle Höhe der 700 hPa-Fläche; Jahresmittel";Druck;aggregat;Y;1;0..10000.0;Float;gpm;978
smn;;ppz850d0;"Geopotentielle Höhe der 850 hPa-Fläche; Tagesmittel";Druck;aggregat;D;1;0..10000.0;Float;gpm;963
smn;;ppz850h0;"Geopotentielle Höhe der 850 hPa-Fläche; Stundenmittel";Druck;aggregat;H;1;0..10000.0;Float;gpm;1869
smn;;ppz850m0;"Geopotentielle Höhe der 850 hPa-Fläche; Monatsmittel";Druck;aggregat;M;1;0..10000.0;Float;gpm;975
smn;;ppz850s0;"Geopotentielle Höhe der 850 hPa-Fläche; Momentanwert";Druck;originalwert;T;1;0..10000.0;Float;gpm;969
smn;;ppz850y0;"Geopotentielle Höhe der 850 hPa-Fläche; Jahresmittel";Druck;aggregat;Y;1;0..10000.0;Float;gpm;977
smn;;prestad0;"Luftdruck auf Barometerhöhe (QFE); Tagesmittel";Druck;aggregat;D;1;0..1500.0;Float;hPa;209
smn;;prestah0;"Luftdruck auf Barometerhöhe (QFE); Stundenmittel";Druck;aggregat;H;1;0..1500.0;Float;hPa;306
smn;;prestam0;"Luftdruck auf Barometerhöhe (QFE); Monatsmittel";Druck;aggregat;M;1;0..1500.0;Float;hPa;300
smn;;prestas0;"Luftdruck auf Barometerhöhe (QFE); Momentanwert";Druck;originalwert;T;1;0..1500.0;Float;hPa;90
smn;;prestay0;"Luftdruck auf Barometerhöhe (QFE); Jahresmittel";Druck;aggregat;Y;1;0..1500.0;Float;hPa;448
smn;;pva200d0;"Dampfdruck 2 m über Boden; Tagesmittel";Feuchte;aggregat;D;1;0..100.0;Float;hPa;767
smn;;pva200h0;"Dampfdruck 2 m über Boden; Stundenmittel";Feuchte;aggregat;H;1;0..100.0;Float;hPa;309
smn;;pva200m0;"Dampfdruck 2 m über Boden; Monatsmittel";Feuchte;aggregat;M;1;0..100.0;Float;hPa;379
smn;;pva200s0;"Dampfdruck 2 m über Boden; Momentanwert";Feuchte;originalwert;T;1;0..100.0;Float;hPa;971
smn;;pva200y0;"Dampfdruck 2 m über Boden; Jahresmittel";Feuchte;aggregat;Y;1;0..999.9;Float;hPa;491
smn;smn-pluvio;rre150d0;"Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag";Niederschlag;aggregat;D;1;0..1000.0;Float;mm;236
smn;smn-pluvio;rre150h0;"Niederschlag; Stundensumme";Niederschlag;aggregat;H;1;0..999.9;Float;mm;267
smn;smn-pluvio;rre150m0;"Niederschlag; Monatssumme";Niederschlag;aggregat;M;1;0..9999.9;Float;mm;301
smn;smn-pluvio;rre150y0;"Niederschlag; Jahressumme";Niederschlag;aggregat;Y;1;0..9999.9;Float;mm;501
smn;smn-pluvio;rre150z0;"Niederschlag; Zehnminutensumme";Niederschlag;originalwert;T;1;0..999.9;Float;mm;93
smn;smn-tower;sre000d0;"Sonnenscheindauer; Tagessumme";Sonne;aggregat;D;0;0..1200;Integer;min;221
smn;smn-tower;sre000h0;"Sonnenscheindauer; Stundensumme";Sonne;aggregat;H;0;0..60;Integer;min;274
smn;smn-tower;sre000m0;"Sonnenscheindauer; Monatssumme";Sonne;aggregat;M;0;0..99999;Integer;min;302
smn;smn-tower;sre000y0;"Sonnenscheindauer; Jahressumme";Sonne;aggregat;Y;0;0..999999;Integer;min;469
smn;smn-tower;sre000z0;"Sonnenscheindauer; Zehnminutensumme";Sonne;originalwert;T;0;0..10;Integer;min;94
smn;;tde200h0;"Taupunkt 2 m über Boden;  Stundenmittel";Feuchte;originalwert;H;1;-99.9..99.9;Float;°C;7746
smn;;tde200s0;"Taupunkt 2 m über Boden; Momentanwert";Feuchte;originalwert;T;1;-99.9..99.9;Float;°C;194
smn;;tre005d0;"Lufttemperatur 5 cm über Gras; Tagesmittel";Temperatur;aggregat;D;1;-99.9..99.9;Float;°C;218
smn;;tre005dn;"Lufttemperatur 5 cm über Gras; Tagesminimum";Temperatur;aggregat;D;1;-99.9..99.9;Float;°C;220
