station;termin;nat_abbr;dk1towh0;fu3towh0;fu3towh1;gre000h0;sre000h0;ta1towh0;ta1towhn;ta1towhx;tdetowh0;uretowh0
392;20230218050000;UEB;246;41.4;46.1;4;0;6.5;6.2;6.8;4.9;89.6
392;20230218060000;UEB;242;36.7;43.9;4;0;6.0;5.7;6.3;4.6;91.1
392;20230218070000;UEB;239;34.6;40.3;13;0;5.8;5.7;5.9;4.5;91.1
392;20230218080000;UEB;238;34.6;45.0;75;0;5.7;5.5;5.8;4.2;89.9
392;20230218090000;UEB;237;33.8;45.0;177;0;5.7;5.6;5.9;3.9;88.2
392;20230218100000;UEB;231;29.2;42.1;251;0;6.0;5.8;6.3;4.0;86.9
392;20230218110000;UEB;236;33.8;48.2;284;0;6.7;6.4;7.0;4.2;83.6
392;20230218120000;UEB;238;37.8;50.0;269;3;7.4;7.2;7.7;4.2;80.6
392;20230218130000;UEB;238;37.4;54.7;565;60;8.2;7.8;8.7;4.2;75.8
392;20230218140000;UEB;239;39.2;54.7;422;60;8.9;8.7;9.2;4.1;71.8
392;20230218150000;UEB;241;41.0;52.9;362;60;9.4;9.2;9.4;4.0;68.9
392;20230218160000;UEB;244;37.1;45.0;194;56;9.4;9.2;9.5;4.0;68.9
392;20230218170000;UEB;250;29.9;40.0;41;3;8.8;8.4;9.2;4.3;73.3
392;20230218180000;UEB;254;29.5;34.9;5;0;8.0;7.7;8.3;4.2;77.0
392;20230218190000;UEB;263;33.8;38.5;4;0;7.6;7.4;7.7;4.1;78.6
392;20230218200000;UEB;263;33.1;40.7;4;0;7.0;6.7;7.2;4.0;81.3
392;20230218210000;UEB;261;34.6;40.3;4;0;6.7;6.7;6.8;3.4;79.3
392;20230218220000;UEB;262;34.2;38.9;4;0;6.6;6.5;6.6;3.3;79.3
392;20230218230000;UEB;258;35.6;42.1;4;0;6.3;6.1;6.4;3.2;80.7
392;20230219000000;UEB;248;33.5;40.0;4;0;6.0;5.9;6.1;3.0;80.9
392;20230219010000;UEB;241;33.1;38.5;4;0;5.8;5.6;6.0;2.8;81.5
392;20230219020000;UEB;242;38.2;43.9;4;0;5.4;5.2;5.5;2.6;82.3
392;20230219030000;UEB;240;38.9;45.7;4;0;4.9;4.7;5.0;2.6;85.3
392;20230219040000;UEB;248;40.0;52.6;4;0;4.2;4.1;4.5;2.4;88.1
392;20230219050000;UEB;254;38.2;48.6;4;0;4.2;4.0;4.4;2.5;88.5
392;20230219060000;UEB;251;37.8;44.3;3;0;4.4;4.2;4.6;2.4;86.8
392;20230219070000;UEB;253;40.0;45.4;6;0;4.3;4.1;4.4;2.2;86.5
392;20230219080000;UEB;255;32.4;41.0;26;0;4.3;4.2;4.5;2.6;89.0
392;20230219090000;UEB;248;34.2;43.9;91;0;4.6;4.4;4.7;2.7;87.4
392;20230219100000;UEB;244;26.3;41.4;157;0;4.8;4.7;4.9;2.8;87.1
392;20230219110000;UEB;252;27.4;40.7;307;15;4.7;4.5;4.9;3.3;90.7
392;20230219120000;UEB;263;23.4;34.9;249;1;4.6;4.4;4.7;4.0;96.2
392;20230219130000;UEB;290;25.6;37.4;95;0;4.0;3.9;4.2;3.5;96.8
392;20230219140000;UEB;288;31.0;41.4;231;0;4.1;3.9;4.3;3.0;93.0
392;20230219150000;UEB;293;29.2;37.1;254;22;4.4;4.3;4.5;2.7;88.8
392;20230219160000;UEB;295;28.4;43.6;33;0;4.2;4.1;4.4;2.5;88.3
392;20230219170000;UEB;288;24.1;38.5;8;0;4.1;4.0;4.1;1.9;85.6
392;20230219180000;UEB;281;22.0;29.9;4;0;4.0;3.9;4.1;1.6;84.2
392;20230219190000;UEB;275;17.3;29.5;4;0;3.8;3.7;4.0;1.8;86.8
392;20230219200000;UEB;262;11.5;19.8;4;0;3.8;3.8;3.8;2.1;88.3
392;20230219210000;UEB;280;14.8;22.7;4;0;3.8;3.7;3.9;1.7;86.4
392;20230219220000;UEB;289;14.0;24.5;4;0;3.6;3.5;3.7;0.9;82.6
392;20230219230000;UEB;279;16.2;25.2;4;0;3.5;3.4;3.6;0.5;80.6
392;20230220000000;UEB;253;15.5;22.3;4;0;3.7;3.6;3.7;0.3;78.8
392;20230220010000;UEB;253;11.2;22.0;4;0;3.6;3.6;3.6;0.7;81.4
392;20230220020000;UEB;258;12.6;16.2;4;0;3.5;3.5;3.6;0.8;82.0
392;20230220030000;UEB;246;12.2;16.2;4;0;3.5;3.5;3.6;0.5;80.7
392;20230220040000;UEB;234;12.6;18.0;4;0;3.5;3.4;3.5;0.4;80.2
392;20230220050000;UEB;226;14.8;17.6;4;0;3.5;3.4;3.5;0.1;78.8
392;20230220060000;UEB;214;15.1;17.6;4;0;3.6;3.6;3.7;0.3;79.0
392;20230220070000;UEB;212;12.2;14.8;22;2;3.7;3.6;3.9;0.6;79.8
392;20230220080000;UEB;205;11.2;15.1;143;60;4.0;3.9;4.2;1.1;81.2
392;20230220090000;UEB;210;11.5;15.8;299;60;4.9;4.2;5.7;1.0;76.3
392;20230220100000;UEB;220;15.1;20.5;435;60;5.5;5.1;5.6;0.6;71.0
392;20230220110000;UEB;222;16.2;22.3;533;60;5.5;5.3;5.7;1.2;73.8
392;20230220120000;UEB;207;7.2;14.0;561;60;7.0;5.4;8.0;1.1;66.8
392;20230220130000;UEB;204;5.4;15.1;558;60;8.2;7.7;9.1;1.1;61.0
392;20230220140000;UEB;211;8.3;15.8;500;60;9.2;8.9;9.7;0.5;54.8
392;20230220150000;UEB;239;11.9;19.4;363;60;9.5;9.3;10.1;-1.3;47.6
392;20230220160000;UEB;282;10.4;16.2;219;60;10.8;10.0;11.6;-4.5;34.4
392;20230220170000;UEB;278;8.6;14.8;52;41;11.3;10.8;11.6;-6.6;28.0
392;20230220180000;UEB;270;8.3;15.1;4;0;11.8;11.4;12.1;-11.4;19.1
392;20230220190000;UEB;257;13.3;15.8;4;0;10.4;9.9;11.0;-4.2;35.8
392;20230220200000;UEB;275;12.6;15.1;4;0;9.4;9.1;9.7;-0.4;50.4
392;20230220210000;UEB;284;14.4;16.9;4;0;9.3;8.9;9.7;-2.6;43.6
392;20230220220000;UEB;265;13.7;17.3;4;0;8.9;8.6;9.1;-0.2;53.2
392;20230220230000;UEB;265;13.7;15.5;4;0;9.2;8.8;9.5;-2.9;43.6
392;20230221000000;UEB;280;9.7;12.2;4;0;9.9;9.4;10.0;-6.8;30.8
392;20230221010000;UEB;295;5.4;7.9;4;0;9.8;9.4;10.3;-5.4;34.4
392;20230221020000;UEB;285;7.2;9.0;4;0;10.2;9.9;10.4;-7.7;27.5
392;20230221030000;UEB;263;9.4;11.9;4;0;10.4;10.3;10.5;-8.3;26.2
392;20230221040000;UEB;238;13.0;15.5;4;0;9.4;8.7;10.2;-6.6;35.1
392;20230221050000;UEB;212;13.0;15.1;4;0;8.2;7.9;8.4;-1.4;51.1
392;20230221060000;UEB;218;14.4;15.8;4;0;8.1;7.9;8.2;-1.7;50.0
392;20230221070000;UEB;224;11.5;15.1;25;1;8.3;7.8;8.5;-2.3;47.3
392;20230221080000;UEB;210;8.6;11.2;139;55;8.3;8.1;8.6;-2.7;45.8
392;20230221090000;UEB;215;11.5;13.7;322;60;7.5;7.2;8.0;-0.8;55.6
392;20230221100000;UEB;214;11.9;14.4;469;60;7.6;7.1;8.5;-1.4;53.6
392;20230221110000;UEB;189;9.0;12.2;554;60;9.1;8.7;9.6;-3.1;42.0
392;20230221120000;UEB;180;3.2;10.4;589;60;9.1;8.9;9.3;-1.9;46.2
392;20230221130000;UEB;203;3.6;12.6;583;60;9.9;9.6;10.3;-3.8;39.0
392;20230221140000;UEB;99;12.2;19.4;515;60;10.6;10.3;11.1;-8.1;26.5
392;20230221150000;UEB;93;12.6;16.2;386;60;11.4;10.3;11.9;-11.7;20.3
392;20230221160000;UEB;101;9.7;14.4;208;60;11.7;11.0;11.9;-10.2;21.6
392;20230221170000;UEB;140;3.6;9.0;38;32;10.8;10.4;11.2;-2.2;40.4
392;20230221180000;UEB;143;4.3;6.8;4;0;10.5;10.1;10.9;-0.4;46.8
392;20230221190000;UEB;112;4.7;8.6;4;0;10.1;9.9;10.2;0.4;51.1
392;20230221200000;UEB;106;10.4;15.5;4;0;10.3;9.9;10.6;0.9;52.0
392;20230221210000;UEB;107;10.1;15.5;4;0;10.4;10.1;10.7;0.7;51.0
392;20230221220000;UEB;101;5.8;8.3;4;0;9.8;9.7;10.2;1.7;56.9
392;20230221230000;UEB;94;5.8;7.6;4;0;9.4;9.3;9.5;1.2;56.4
392;20230222000000;UEB;131;3.6;7.6;4;0;9.3;9.1;9.4;0.1;52.7
392;20230222010000;UEB;166;3.6;5.4;4;0;8.5;8.1;9.0;1.2;59.9
392;20230222020000;UEB;201;5.0;7.9;4;0;8.4;8.3;8.6;1.2;60.3
392;20230222030000;UEB;213;5.8;8.6;4;0;8.5;8.4;8.6;0.4;56.8
392;20230222040000;UEB;192;5.4;6.8;4;0;8.4;8.2;8.7;-0.7;52.6
392;20230222050000;UEB;234;9.4;14.8;4;0;8.0;7.7;8.5;1.1;61.6
392;20230222060000;UEB;246;18.4;26.3;4;0;7.5;7.2;7.9;1.0;63.5
392;20230222070000;UEB;239;29.5;33.1;17;0;7.1;6.5;7.3;1.9;69.6
392;20230222080000;UEB;242;31.7;36.7;100;10;7.1;6.8;7.3;1.6;68.5
392;20230222090000;UEB;245;37.4;40.7;338;60;6.8;6.7;7.0;1.8;70.1
392;20230222100000;UEB;249;34.2;40.3;444;60;6.4;5.8;6.8;1.9;73.0
392;20230222110000;UEB;248;23.4;40.3;511;60;5.6;5.5;5.8;2.0;77.5
392;20230222120000;UEB;248;24.8;37.1;490;60;6.0;5.5;6.4;2.6;78.4
392;20230222130000;UEB;247;22.3;32.0;538;60;6.6;6.2;7.1;2.7;76.3
392;20230222140000;UEB;252;17.3;26.3;405;59;7.2;7.0;7.5;2.4;71.5
392;20230222150000;UEB;262;15.8;24.1;201;7;7.3;6.9;7.5;2.5;71.7
392;20230222160000;UEB;276;14.0;20.9;91;0;6.8;6.7;7.0;2.9;76.0
392;20230222170000;UEB;263;19.8;21.6;31;0;6.8;6.7;7.0;3.0;76.1
392;20230222180000;UEB;253;25.9;31.0;4;0;7.1;6.8;7.3;3.5;77.8
392;20230222190000;UEB;251;27.0;34.6;4;0;6.5;6.1;6.8;4.0;84.1
392;20230222200000;UEB;243;27.4;33.8;4;0;5.8;5.4;6.1;3.8;87.2
392;20230222210000;UEB;241;29.5;37.1;4;0;5.3;5.1;5.5;4.4;93.9
392;20230222220000;UEB;235;27.7;32.8;4;0;5.2;5.0;5.5;4.3;94.0
392;20230222230000;UEB;229;26.6;35.3;4;0;5.0;4.9;5.1;4.5;96.7
392;20230223000000;UEB;234;32.0;38.2;3;0;5.0;4.9;5.1;4.4;96.0
392;20230223010000;UEB;237;31.7;37.1;3;0;5.0;4.9;5.1;4.4;96.1
392;20230223020000;UEB;234;25.6;31.0;3;0;5.0;5.0;5.1;4.4;95.5
392;20230223030000;UEB;237;25.9;32.8;3;0;5.0;4.9;5.1;4.4;95.9
