station;termin;nat_abbr;rre150m0
536;19510601000000;AIR;176.0
536;19510701000000;AIR;51.1
536;19510801000000;AIR;309.2
536;19510901000000;AIR;40.2
536;19511001000000;AIR;177.2
536;19511101000000;AIR;666.8
536;19511201000000;AIR;14.7
536;19520101000000;AIR;81.3
536;19520201000000;AIR;38.9
536;19520301000000;AIR;85.1
536;19520401000000;AIR;199.7
536;19520501000000;AIR;185.8
536;19520601000000;AIR;155.1
536;19520701000000;AIR;46.2
536;19520801000000;AIR;178.9
536;19520901000000;AIR;215.4
536;19521001000000;AIR;157.4
536;19521101000000;AIR;169.4
536;19521201000000;AIR;94.7
536;19530101000000;AIR;11.5
536;19530201000000;AIR;13.2
536;19530301000000;AIR;4.9
536;19530401000000;AIR;189.6
536;19530501000000;AIR;20.6
536;19530601000000;AIR;241.5
536;19530701000000;AIR;142.5
536;19530801000000;AIR;54.5
536;19530901000000;AIR;294.4
536;19531001000000;AIR;343.9
536;19531101000000;AIR;17.7
536;19531201000000;AIR;23.2
536;19540101000000;AIR;60.6
536;19540201000000;AIR;68.5
536;19540301000000;AIR;79.4
536;19540401000000;AIR;132.0
536;19540501000000;AIR;133.7
536;19540601000000;AIR;253.7
536;19540701000000;AIR;88.8
536;19540801000000;AIR;475.7
536;19540901000000;AIR;162.0
536;19541001000000;AIR;56.1
536;19541101000000;AIR;104.1
536;19541201000000;AIR;338.4
536;19550101000000;AIR;179.9
536;19550201000000;AIR;184.0
536;19550301000000;AIR;37.1
536;19550401000000;AIR;8.7
536;19550501000000;AIR;115.6
536;19550601000000;AIR;236.1
536;19550701000000;AIR;135.6
536;19550801000000;AIR;52.0
536;19550901000000;AIR;57.3
536;19551001000000;AIR;175.2
536;19551101000000;AIR;41.7
536;19551201000000;AIR;59.1
536;19560101000000;AIR;102.4
536;19560201000000;AIR;10.9
536;19560301000000;AIR;246.9
536;19560401000000;AIR;187.8
536;19560501000000;AIR;92.8
536;19560601000000;AIR;117.0
536;19560701000000;AIR;203.4
536;19560801000000;AIR;392.6
536;19560901000000;AIR;218.2
536;19561001000000;AIR;70.9
536;19561101000000;AIR;33.1
536;19561201000000;AIR;6.4
536;19570101000000;AIR;64.8
