station;termin;nat_abbr;fkl010d0;fkl010d1;fu3010d0;fu3010d1;gre000d0;oli000d0;pp0qffd0;pp0qnhd0;ppz700d0;ppz850d0;prestad0;pva200d0;rre150d0;sre000d0;tre005d0;tre005dn;tre005dx;tre200d0;tre200dn;tre200dx;ure200d0;wcc006d0
75;20230403000000;BAS;2.6;10.2;9.4;36.7;83;301;1024.0;1023.0;;;985.1;5.6;0.1;10;4.5;-3.3;14.8;5.1;2.6;8.4;65.4;
75;20230404000000;BAS;2.1;9.2;7.6;33.1;264;226;1023.0;1021.9;;;984.1;4.2;0.0;732;5.3;-5.6;18.5;4.9;-0.9;10.2;49.1;
75;20230405000000;BAS;1.3;6.0;4.7;21.6;260;235;1021.7;1020.6;;;982.8;4.5;0.0;720;5.5;-5.5;18.0;4.3;-1.8;11.0;57.0;
75;20230406000000;BAS;1.7;7.1;6.1;25.6;199;283;1020.1;1019.4;;;981.6;5.2;0.0;373;7.9;-4.8;19.4;7.6;-0.2;13.6;51.9;
75;20230407000000;BAS;1.7;7.9;6.1;28.4;72;319;1018.9;1018.1;;;980.4;7.6;7.9;30;5.8;3.4;11.9;6.4;4.0;8.8;79.9;
75;20230408000000;BAS;1.0;6.0;3.6;21.6;139;310;1022.7;1022.1;;;984.3;8.3;0.0;60;8.4;-0.5;18.6;8.2;3.0;12.3;77.5;
75;20230409000000;BAS;2.0;8.2;7.2;29.5;272;259;1023.1;1022.7;;;984.9;6.9;0.0;719;9.2;-1.2;21.9;9.5;4.0;15.4;60.9;
75;20230410000000;BAS;1.8;8.6;6.5;31.0;204;305;1020.0;1020.0;;;982.2;7.5;2.2;384;11.8;-2.2;23.1;12.2;4.4;17.5;53.9;
75;20230411000000;BAS;2.9;14.4;10.4;51.8;114;337;1017.5;1017.4;;;979.6;8.6;0.9;0;10.7;7.4;16.1;11.2;8.4;15.5;65.9;
75;20230412000000;BAS;3.9;16.5;14.0;59.4;72;337;1007.3;1007.0;;;969.6;9.5;7.6;0;9.0;3.7;15.8;9.9;6.3;15.2;78.7;
75;20230413000000;BAS;2.6;10.8;9.4;38.9;177;280;1009.8;1009.2;;;971.7;7.1;0.4;209;7.2;0.1;16.8;7.4;4.2;10.6;69.1;
75;20230414000000;BAS;1.2;7.0;4.3;25.2;237;277;1009.5;1009.1;;;971.7;6.5;0.1;561;9.2;-1.1;20.6;8.7;2.7;14.2;60.9;
75;20230415000000;BAS;1.7;8.0;6.1;28.8;108;328;1011.6;1011.2;;;973.7;8.6;7.5;101;8.6;4.8;16.5;8.5;5.5;12.2;77.2;
75;20230416000000;BAS;1.1;6.3;4.0;22.7;40;343;1021.6;1021.0;;;983.2;9.6;1.6;0;7.8;6.7;11.4;8.1;7.1;9.6;89.2;
75;20230417000000;BAS;1.5;9.1;5.4;32.8;107;330;1021.0;1020.6;;;982.8;10.1;0.9;83;9.4;3.1;20.2;9.4;6.2;13.9;85.9;
75;20230418000000;BAS;1.6;6.4;5.8;23.0;176;312;1019.8;1019.5;;;981.7;9.5;0.0;274;10.6;2.5;22.3;9.9;6.3;15.1;78.2;
75;20230419000000;BAS;1.5;11.9;5.4;42.8;104;334;1019.1;1018.7;;;981.0;9.2;5.4;1;9.7;1.1;19.5;9.4;5.7;13.3;78.9;
