station;termin;nat_abbr;dkl010z0;fkl010z0;fkl010z1;fu3010z0;fu3010z1;fve010z0;gre000z0;oli000z0;pp0qffs0;pp0qnhs0;ppz700s0;ppz850s0;prestas0;pva200s0;rre150z0;sre000z0;tde200s0;tre005s0;tre200s0;ure200s0;wcc006s1
75;20230502003000;BAS;126;0.6;1.0;2.2;3.6;0.6;0;321;1019.7;1019.5;;;981.7;11.6;0.0;0;9.1;7.4;10.3;92.3;
75;20230502004000;BAS;120;0.5;0.9;1.8;3.2;0.5;0;325;1019.8;1019.5;;;981.7;11.6;0.0;0;9.2;6.7;10.1;94.1;
75;20230502005000;BAS;165;0.4;0.8;1.4;2.9;0.4;0;348;1019.7;1019.5;;;981.7;11.4;0.0;0;8.9;7.5;10.3;91.1;
75;20230502010000;BAS;189;1.0;1.3;3.6;4.7;1.0;0;350;1019.7;1019.5;;;981.7;11.5;0.0;0;9.0;8.8;10.4;91.1;
75;20230502011000;BAS;208;1.4;1.7;5.0;6.1;1.4;0;326;1019.6;1019.4;;;981.6;11.4;0.0;0;8.9;8.9;10.1;92.3;
75;20230502012000;BAS;219;1.0;1.4;3.6;5.0;0.9;0;311;1019.8;1019.5;;;981.7;11.2;0.0;0;8.6;7.6;9.7;93.1;
75;20230502013000;BAS;226;0.5;0.8;1.8;2.9;0.5;0;312;1019.9;1019.6;;;981.8;11.4;0.0;0;8.9;6.7;9.8;94.1;
75;20230502014000;BAS;238;0.6;1.2;2.2;4.3;0.6;0;315;1020.0;1019.6;;;981.8;11.2;0.0;0;8.7;5.8;9.4;95.2;
75;20230502015000;BAS;222;1.2;1.7;4.3;6.1;1.1;0;325;1020.1;1019.7;;;981.9;11.2;0.0;0;8.7;5.7;9.4;95.2;
75;20230502020000;BAS;197;1.7;1.8;6.1;6.5;1.7;0;328;1020.1;1019.7;;;981.9;10.9;0.0;0;8.2;6.9;9.1;94.3;
