station;termin;nat_abbr;fn1towd0;fu3towd0;fu3towd1;gre000d0;sre000d0;ta1towd0;ta1towdn;ta1towdx;uretowd0
392;20200721000000;UEB;-2.2;14.4;44.3;226;324;19.1;15.3;21.0;63.9
392;20200722000000;UEB;-2.1;15.8;35.3;247;383;18.3;15.4;21.1;76.4
392;20200723000000;UEB;0.0;17.3;34.2;294;621;18.6;15.5;21.6;59.5
392;20200724000000;UEB;-2.7;22.3;45.0;129;151;16.0;14.0;18.7;60.2
392;20200725000000;UEB;-2.9;17.3;36.7;328;712;18.1;14.8;21.2;56.5
392;20200726000000;UEB;-0.6;22.7;57.2;248;449;17.8;14.8;21.0;63.7
392;20200727000000;UEB;-2.8;17.6;52.9;334;857;21.3;16.8;25.5;52.3
392;20200728000000;UEB;-0.6;24.5;65.5;248;495;20.9;17.7;25.0;63.2
392;20200729000000;UEB;1.4;11.5;29.9;318;728;18.9;15.6;21.9;58.6
392;20200730000000;UEB;-0.2;5.8;21.2;325;824;22.0;17.6;26.2;54.5
392;20200731000000;UEB;-2.2;13.3;31.7;321;817;25.4;21.9;28.4;48.2
392;20200801000000;UEB;-1.1;20.5;87.1;207;429;23.0;17.9;27.1;50.6
392;20200802000000;UEB;-0.7;21.2;59.0;128;30;16.1;13.7;18.9;84.4
392;20200803000000;UEB;-1.3;17.6;49.7;59;2;12.3;8.9;15.2;88.9
392;20200804000000;UEB;1.7;15.8;34.6;96;6;10.6;9.1;12.6;84.1
392;20200805000000;UEB;2.4;29.2;55.4;326;797;13.4;9.4;16.7;69.1
392;20200806000000;UEB;1.3;14.4;38.9;329;830;17.1;12.8;20.4;67.4
392;20200807000000;UEB;0.3;15.5;45.0;323;822;20.3;16.4;23.7;64.9
392;20200808000000;UEB;1.1;17.6;32.4;322;811;21.9;19.2;23.8;48.5
392;20200809000000;UEB;1.8;14.4;31.7;321;811;22.4;20.0;24.2;49.9
392;20200810000000;UEB;-2.1;11.9;47.5;290;608;22.6;19.8;25.7;53.3
392;20200811000000;UEB;-1.7;14.8;43.9;307;756;22.7;19.2;26.1;55.5
392;20200812000000;UEB;-2.9;14.8;66.2;269;583;23.1;20.3;26.2;56.2
392;20200813000000;UEB;-3.3;24.8;55.1;140;253;20.1;16.5;25.3;54.5
392;20200814000000;UEB;-2.5;19.1;47.5;158;133;16.5;14.8;18.8;81.4
392;20200815000000;UEB;0.4;7.2;24.5;250;578;18.8;15.1;22.2;71.4
392;20200816000000;UEB;0.1;14.4;80.6;279;673;20.0;13.5;23.9;63.8
392;20200817000000;UEB;-3.6;19.4;57.6;200;354;15.9;13.5;18.2;76.1
392;20200818000000;UEB;-2.8;18.7;43.2;225;482;16.0;13.4;17.9;68.3
392;20200819000000;UEB;-1.0;9.7;29.2;245;512;18.1;14.7;20.9;60.5
392;20200820000000;UEB;-2.5;13.0;27.7;283;661;23.5;20.8;26.2;45.9
392;20200821000000;UEB;-3.1;21.2;41.4;291;769;24.6;21.3;27.0;45.3
392;20200822000000;UEB;0.0;23.4;60.5;88;80;17.0;14.5;23.3;76.1
392;20200823000000;UEB;0.8;19.8;37.8;174;226;15.2;13.2;16.6;65.2
392;20200824000000;UEB;1.1;11.9;33.1;239;476;14.7;12.8;16.6;55.3
392;20200825000000;UEB;-3.2;20.5;74.5;241;463;17.0;13.2;20.7;53.3
392;20200826000000;UEB;-3.4;45.0;83.9;278;544;18.3;15.4;21.0;51.8
392;20200827000000;UEB;-1.5;11.2;37.1;232;479;16.6;13.8;19.2;59.1
392;20200828000000;UEB;-3.7;30.2;59.8;120;176;15.3;10.1;18.6;73.1
392;20200829000000;UEB;0.0;15.1;44.6;29;0;10.3;9.5;11.2;93.8
392;20200830000000;UEB;-0.9;29.5;59.8;20;0;8.8;5.3;10.4;94.7
392;20200831000000;UEB;0.6;13.7;34.9;148;149;10.3;8.3;13.5;86.1
392;20200901000000;UEB;1.4;13.3;29.5;115;77;10.4;8.7;12.3;90.5
392;20200902000000;UEB;1.3;11.9;27.0;222;412;11.8;8.8;14.5;75.4
392;20200903000000;UEB;-1.2;8.6;28.8;267;683;14.5;11.7;17.3;62.3
392;20200904000000;UEB;-2.4;12.2;43.6;263;736;18.5;15.5;21.7;57.9
392;20200905000000;UEB;-1.6;28.4;55.1;227;529;17.8;13.0;20.7;64.0
392;20200906000000;UEB;3.8;16.9;28.8;37;0;11.0;9.5;12.9;87.3
392;20200907000000;UEB;3.1;30.2;60.1;182;361;11.4;8.5;13.8;74.3
392;20200908000000;UEB;1.2;9.7;25.2;261;738;13.8;10.2;17.0;71.7
392;20200909000000;UEB;-0.2;8.6;19.8;255;736;17.0;13.8;19.7;67.9
