station;termin;nat_abbr;fn1towd0;fu3towd0;fu3towd1;gre000d0;sre000d0;ta1towd0;ta1towdn;ta1towdx;uretowd0
392;20230624000000;UEB;2.8;32.0;55.8;360;902;17.2;13.9;19.7;54.1
392;20230625000000;UEB;0.5;12.6;45.4;365;905;19.7;15.1;23.6;49.4
392;20230626000000;UEB;0.2;25.6;46.1;310;721;20.2;15.4;23.0;53.0
392;20230627000000;UEB;2.4;14.4;32.0;287;511;15.4;13.0;17.7;57.6
392;20230628000000;UEB;2.0;16.9;35.6;265;466;16.1;12.9;19.2;52.8
392;20230629000000;UEB;-2.0;17.6;44.6;257;455;18.1;15.6;21.2;58.1
392;20230630000000;UEB;-2.3;25.9;65.2;88;11;14.0;12.0;17.3;88.9
392;20230701000000;UEB;-4.8;29.9;52.9;221;225;13.7;11.4;16.8;79.3
392;20230702000000;UEB;-1.6;24.1;57.2;168;115;14.3;11.5;16.5;80.0
392;20230703000000;UEB;-0.8;22.0;40.0;285;490;15.2;12.8;17.4;65.1
392;20230704000000;UEB;-0.3;11.9;31.7;254;378;16.6;13.6;19.1;67.6
392;20230705000000;UEB;-2.8;24.8;63.4;168;144;14.4;12.4;17.9;76.8
